,S&P 500 Price,,,DAX Price
24-12-17,2683.34,,24-12-17,13072.79
25-12-17,2683.34,,25-12-17,13072.79
26-12-17,2680.5,,26-12-17,13072.79
27-12-17,2682.62,,27-12-17,13070.02
28-12-17,2687.54,,28-12-17,12979.94
29-12-17,2673.61,,29-12-17,12917.64
30-12-17,2673.61,,30-12-17,12917.64
31-12-17,2673.61,,31-12-17,12917.64
01-01-18,2673.61,,01-01-18,12917.64
02-01-18,2695.81,,02-01-18,12871.39
03-01-18,2713.06,,03-01-18,12978.21
04-01-18,2723.99,,04-01-18,13167.89
05-01-18,2743.15,,05-01-18,13319.64
06-01-18,2743.15,,06-01-18,13319.64
07-01-18,2743.15,,07-01-18,13319.64
08-01-18,2747.71,,08-01-18,13367.78
09-01-18,2751.29,,09-01-18,13385.59
10-01-18,2748.23,,10-01-18,13281.34
11-01-18,2767.56,,11-01-18,13202.9
12-01-18,2786.24,,12-01-18,13245.03
13-01-18,2786.24,,13-01-18,13245.03
14-01-18,2786.24,,14-01-18,13245.03
15-01-18,2786.24,,15-01-18,13200.51
16-01-18,2776.42,,16-01-18,13246.33
17-01-18,2802.56,,17-01-18,13183.96
18-01-18,2798.03,,18-01-18,13281.43
19-01-18,2810.3,,19-01-18,13434.45
20-01-18,2810.3,,20-01-18,13434.45
21-01-18,2810.3,,21-01-18,13434.45
22-01-18,2832.97,,22-01-18,13463.69
23-01-18,2839.13,,23-01-18,13559.6
24-01-18,2837.54,,24-01-18,13414.74
25-01-18,2839.25,,25-01-18,13298.36
26-01-18,2872.87,,26-01-18,13340.17
27-01-18,2872.87,,27-01-18,13340.17
28-01-18,2872.87,,28-01-18,13340.17
29-01-18,2853.53,,29-01-18,13324.48
30-01-18,2822.43,,30-01-18,13197.71
31-01-18,2823.81,,31-01-18,13189.48
